id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,bairro,crawled_at
2530923772,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-42m2-venda-RS470000-id-2530923772/,"Apartamento com Quarto à Venda, 42m²","Rua Indiana, 68 - Brooklin, São Paulo - SP",42,1 Quarto,2 Banheiros,1 Vaga,"Condomínio fechado
Portão eletrônico
Portaria 24h",R$ 470.000,R$ 600,Brooklin,2021-10-10 13:53
https://www.vivareal.com.br/imoveis-lancamento/up-life-interlagos-2528084171,https://www.vivareal.com.br/imoveis-lancamento/up-life-interlagos-2528084171/,Up Life Interlagos,"Avenida Interlagos, 1834 - Jardim Marajoara, São Paulo - SP",60-142,2 Quartos,2 Banheiros,1 Vaga,,R$ 421.106,,Brooklin,2021-10-10 13:53
2532710792,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1060000-id-2532710792/,"Apartamento com Quarto à Venda, 70m²","Avenida Padre Antônio José dos Santos, 102 - Brooklin, São Paulo - SP",70,1 Quarto,2 Banheiros,2 Vagas,"Churrasqueira
Elevador
Condomínio fechado
Academia
Aceita animais
...",R$ 1.060.000,R$ 840,Brooklin,2021-10-10 13:53
2528745376,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-100m2-venda-RS1030000-id-2528745376/,"Apartamento com 3 Quartos à Venda, 100m²","Rua Indiana, 510 - Brooklin, São Paulo - SP",100,3 Quartos,3 Banheiros,2 Vagas,"Mobiliado
Elevador
Condomínio fechado
Aceita animais
Espaço gourmet
...",R$ 1.030.000,R$ 1.390,Brooklin,2021-10-10 13:53
2536312186,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-67m2-venda-RS890000-id-2536312186/,"Apartamento com 2 Quartos à Venda, 67m²","Rua Castilho, 155 - Brooklin, São Paulo - SP",67,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 890.000,R$ 860,Brooklin,2021-10-10 13:53
2531318094,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-170m2-venda-RS2200000-id-2531318094/,"Apartamento com 3 Quartos à Venda, 170m²","Rua Pensilvânia, 742 - Brooklin, São Paulo - SP",170,3 Quartos,4 Banheiros,3 Vagas,"Piscina
Elevador
Academia
Aceita animais
Ar-condicionado
...",R$ 2.200.000,R$ 2.200,Brooklin,2021-10-10 13:53
2528629599,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-45m2-venda-RS660000-id-2528629599/,"Apartamento com Quarto à Venda, 45m²","Rua Castilho, 155 - Brooklin, São Paulo - SP",45,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 660.000,R$ 580,Brooklin,2021-10-10 13:53
2511557601,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-218m2-venda-RS2400000-id-2511557601/,"Apartamento com 4 Quartos à Venda, 218m²","Rua Laplace, 44 - Brooklin, São Paulo - SP",218,4 Quartos,5 Banheiros,4 Vagas,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 2.400.000,R$ 1.900,Brooklin,2021-10-10 13:53
https://www.vivareal.com.br/imoveis-lancamento/bosque-marajoara-2482833911,https://www.vivareal.com.br/imoveis-lancamento/bosque-marajoara-2482833911/,Bosque Marajoara,"Rua José Homero Roxo, 165 - Jardim Marajoara, São Paulo - SP",61-80,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Academia
Playground
Piscina infantil
...",R$ 468.688,,Brooklin,2021-10-10 13:53
2531874484,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-60m2-venda-RS890000-id-2531874484/,"Apartamento com 2 Quartos à Venda, 60m²","Rua Ribeiro do Vale, 357 - Brooklin, São Paulo - SP",60,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 890.000,R$ 750,Brooklin,2021-10-10 13:53
2472650173,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-64m2-venda-RS695000-id-2472650173/,"Apartamento com 2 Quartos à Venda, 64m²","Avenida Portugal, 401 - Brooklin, São Paulo - SP",64,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Ar-condicionado
Playground
Móvel planejado
Salão de festas
...",R$ 695.000,R$ 900,Brooklin,2021-10-10 13:53
2533109980,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-32m2-venda-RS410000-id-2533109980/,"Apartamento com Quarto à Venda, 32m²","Avenida Santo Amaro, 4800 - Brooklin, São Paulo - SP",32,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 410.000,,Brooklin,2021-10-10 13:53
2532294130,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-100m2-venda-RS1380000-id-2532294130/,"Apartamento com 3 Quartos à Venda, 100m²","Rua Pássaros e Flores, 56 - Brooklin, São Paulo - SP",100,3 Quartos,4 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Academia
Aceita animais
...",R$ 1.380.000,R$ 1.200,Brooklin,2021-10-10 13:53
2508177787,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-66m2-venda-RS1100000-id-2508177787/,"Apartamento com 2 Quartos à Venda, 66m²","Avenida Santo Amaro, 4.800 - Brooklin, São Paulo - SP",66,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...",R$ 1.100.000,R$ 650,Brooklin,2021-10-10 13:53
